UniqueCount	AmbigCount
0	823
0	823
0	608
0	608
721	0
5	550
0	550
67	322
3	322
63	542
3	527
11	531
0	508
0	772
0	772
69	0
78	0
72	734
6	734
8	0
41	0
0	0
8	0
366	0
415	0
43	1334
14	1334
1	1295
0	200
0	200
0	1443
0	1443
3674	0
286	0
533	1898
12	0
68	24
0	0
768	1365
689	1904
2	3099
90	3099
0	577
1073	0
1734	0
0	341
1	341
1078	0
232	0
137	0
0	8973
0	8976
0	3598
0	16523
2	16523
1761	33040
0	33040
0	32565
88	0
41	0
43	0
8	0
47	0
4	227
0	227
49	0
25	0
59	0
9	83
0	83
19	0
195	0
201	0
0	16
0	17
0	15
0	5
0	3
0	3
0	18
0	4
0	2
59	0
1	50
1	50
0	63
9	60
7	63
0	48
0	49
0	48
0	49
65	0
0	52
1	52
3	181168
0	181150
127	181168
3789	181150
0	65471
11	65471
5	65471
0	184302
29	184332
0	184332
3	95628
0	95653
0	91146
0	91309
0	95622
0	91020
0	94949
0	91768
0	64639
0	64745
0	64745
718	0
95	0
0	1411
1	1411
321	0
6	451
27	514
1	490
2	428
0	513
6	509
4	510
0	510
0	436
39	953
2	953
545	0
34	3350
0	3080
16	3321
0	3408
0	226
0	1223
0	1223
12802	0
1020	0
0	3224
0	3231
1	2669
0	936
0	2736
0	2743
0	234
0	234
0	216
34	0
24	653
12	653
1566	0
332	0
35	1164
5	1164
0	674
0	674
3	550
0	566
0	548
0	624
0	456
0	352
0	332
30	604
0	604
2	543
187	0
105	1377
0	1377
0	23
0	23
775	0
0	3156
11	3156
634	0
0	6174
321	4595
0	5509
0	5509
106	6411
0	5348
0	6533
0	6533
1	6290
0	5916
0	5832
0	5683
0	6461
0	6306
0	6290
0	2569
0	2570
0	2635
0	2636
0	1089
0	1090
0	2479
0	2479
0	2361
0	2361
2	1977
68	818
1	818
0	3761
237	3761
1	1902
5	1902
0	11903
0	11805
0	11655
0	11753
1	11484
0	10421
1	0
5570	0
0	4261
0	4262
0	4684
0	4685
0	4276
0	4277
1339	0
0	4400
0	4402
0	4400
0	3378
0	3380
0	3378
0	4198
0	4200
0	4198
3	4081
0	1873
21	1983
0	1138
8	46124
0	46200
0	46206
12	38374
0	6120
10	6120
1053	0
141	1684
0	1684
0	1684
0	4349
0	4349
0	3994
0	3994
1141	0
2652	0
0	4896
5	4896
304	3405
0	6456
0	6456
134	0
17	0
100	0
2157	0
356	0
1085	0
3	130
0	130
0	28274
0	28204
0	28274
2123	0
811	0
0	365
0	366
0	364
