UniqueCount	AmbigCount
1	891
0	891
0	676
2	676
1081	0
4	558
0	558
81	372
5	372
39	491
2	470
7	471
0	482
0	841
0	841
78	0
103	0
100	794
5	794
3	0
28	0
0	0
3	0
252	0
363	0
30	1133
20	1133
1	1101
0	425
0	425
0	1164
0	1164
3211	0
459	0
501	1964
24	0
81	34
1	5
576	1194
549	1598
5	1993
73	1993
0	462
955	0
1426	0
0	306
0	306
844	0
186	0
71	0
0	7786
0	7788
0	2815
0	14831
4	14831
1731	29416
1	29416
0	28913
87	0
45	0
34	0
8	0
49	0
0	210
0	210
32	0
18	0
87	0
13	113
0	113
13	0
151	0
220	0
0	13
0	18
0	16
0	5
0	3
0	2
0	15
0	4
0	2
60	0
3	47
0	47
0	60
2	59
0	60
0	48
0	48
0	45
0	45
38	0
3	54
1	54
2	163804
0	163794
48	163803
3389	163794
0	59054
14	59054
7	59054
0	168214
13	168230
3	168231
1	87875
0	87892
0	84409
0	84516
0	87871
0	84320
0	87267
0	85010
0	48301
0	48384
0	48384
701	0
78	0
0	1228
0	1228
353	0
4	376
19	436
0	413
1	369
1	436
13	594
0	594
1	594
0	477
25	756
2	756
494	0
42	3227
0	3027
15	3199
0	3292
0	206
0	1397
1	1397
9625	0
1043	0
0	3287
0	3291
0	2601
0	773
0	2897
0	2901
0	322
0	323
0	295
30	0
16	513
24	513
1440	0
292	0
27	1260
11	1260
2	566
0	566
2	467
0	476
0	465
0	516
0	368
0	266
0	246
27	623
0	623
2	531
225	0
126	1198
0	1198
1	18
0	18
587	0
0	2568
4	2568
734	0
0	5486
372	3967
1	4845
0	4845
87	5709
0	4678
0	5803
0	5803
4	5570
0	5207
0	5124
0	4960
0	5718
3	5585
0	5570
0	3459
0	3459
0	3543
0	3543
0	1424
0	1424
0	2831
0	2835
0	2622
0	2626
0	2252
36	567
0	567
0	3781
216	3781
1	1616
9	1616
0	9833
0	9759
0	9635
1	9709
2	9451
0	8631
0	0
4957	0
0	4323
0	4323
0	4756
0	4756
0	4312
0	4312
1252	0
0	3858
0	3859
0	3858
0	2995
0	2996
0	2995
0	3692
0	3693
0	3692
2	3628
0	1663
13	1834
0	1037
5	35162
0	35217
0	35221
15	29268
0	6185
9	6185
1062	0
154	1496
0	1496
2	1496
0	4410
0	4411
0	4106
0	4107
895	0
2823	0
0	4597
12	4597
364	3252
0	5631
0	5631
102	0
27	0
100	0
1855	0
316	0
1223	0
9	181
0	181
1	23601
0	23496
2	23601
2489	0
1035	0
1	453
0	454
0	453
0	452
7	452
0	367
29	367
131	3206
0	3206
0	2432
0	1944
403	0
56	1066
11	1066
727	10935
3	10935
2422	0
0	956
5	956
4878	0
40	1558
0	1571
0	981
749	0
3545	0
1654	0
252	3820
0	1019
0	2982
0	2430
2	2430
0	2430
170	1138
0	1138
10	1945
60	1945
561	0
1142	0
77	0
131	514
0	384
0	383
0	324
0	324
0	1731
0	1729
7	1731
3	3938
0	3938
0	3942
0	3926
0	3930
0	16
0	11
0	16
1093	0
16	0
0	25
2	25
0	25
0	9753
81	9753
1	1631
0	2038
63	1517
24	236
0	236
2787	0
2107	0
938	0
236	5719
0	5651
0	4349
0	12142
0	10914
43	12142
16400	0
845	0
2	1
0	1
1	958
31	958
0	1494
11	1494
93	0
342	0
366	86
1709	0
17	0
548	0
98	1054
5	1054
0	8700
0	8700
3	8700
10	8700
9038	0
2743	0
2848	0
263	2365
42	2365
965	0
1321	0
1363	0
797	0
0	6212
4	6212
12	17401
0	17054
14	17401
1068	0
5414	0
8114	0
0	367
0	367
771	0
1	1
0	1
0	118457
193	118457
32546	0
73004	0
16805	0
0	29389
28	29389
74466	0
643	0
99	4309
0	4309
627	0
101	4519
0	4735
0	4677
0	4648
7	4155
1480	1122
0	1122
117	2292
0	2292
0	974
8	976
0	2642
0	2559
1	2559
0	2355
310	1033
0	1033
0	11505
0	10997
0	11082
0	10574
5513	85622
0	84971
3	84873
0	24560
0	24554
0	24589
0	24527
0	24605
1	24538
0	5641
0	4825
63	5457
0	5267
0	280
4	245
10	208
0	99
64	527
0	545
2	545
0	266
3157	0
966	0
1249	0
696	0
70	1034
7	1034
72	2677
2	2677
47	0
25	0
44	0
0	1111
0	1111
648	0
551	276
0	276
1733	0
750	0
367	0
47	13468
0	13468
11458	0
1594	164
0	5826
0	5822
0	5758
0	5754
0	7062
0	7058
0	7481
0	7477
0	5740
0	5736
0	5789
0	5785
0	6031
0	6027
0	5848
0	5844
0	5760
0	5756
0	5816
0	5812
156	0
29304	0
0	2161
0	2157
1	2166
2	2166
189	891
7	891
0	888
0	826
135	0
9629	0
0	596
31	596
0	793
0	793
0	3049
0	3048
15	3046
0	3040
2	3036
13	3046
0	3045
3	101
0	113
0	114
10	113
1	2361
0	2365
0	2002
17	623
0	623
0	472
0	348
1	357
0	357
29	1207
23	1207
38	0
0	9227
0	7354
0	9041
0	6552
0	8472
1910	0
3587	0
4693	0
0	3895
0	3895
0	3895
10	3893
19	43
0	43
93	0
2500	0
28	5970
179	5970
1182	0
222	0
66	218
0	218
284	0
9	149
0	149
18	227
12	227
0	203
5	1358
1	1358
0	1304
0	3181
7	3181
3598	0
707	2639
0	2737
0	2737
6	68
0	68
0	37
0	34
2	37
2134	0
0	40
0	40
6	79
0	79
0	45
0	66
0	5162
49	5118
445	5155
0	5155
0	846
0	847
0	850
0	845
0	846
0	849
0	838
0	837
0	841
0	836
0	837
0	840
0	836
0	835
0	839
794	0
2270	0
3895	0
0	14060
3	14099
0	14099
125	0
621	0
0	696
1	696
39	5097
100	5096
1	5097
0	3614
295	4071
0	4002
11055	0
0	9231
9	9231
1	8406
0	11237
0	11237
0	18691
0	18401
0	14828
0	15441
0	15151
0	14772
0	13861
0	10167
0	10160
0	9344
0	9337
1352	0
0	1722
0	1723
0	2017
0	2018
0	1710
0	1686
0	1687
0	1981
0	1674
0	2243
2	2243
0	446
0	437
0	375
0	341
44	0
119	0
3722	0
434	0
596	0
25	700
2	721
0	701
964	0
1367	0
0	840
0	802
0	868
0	830
3457	0
290	0
0	5364
0	5364
1590	787
8	787
0	786
0	2139
7	2139
4	150
0	150
659	0
0	1172
15	1173
1	1173
737	0
3	736
152	736
2132	0
32	0
558	0
1459	0
80	1598
76	1598
2	1535
2	82
354	437
0	437
0	126
523	373
0	373
0	679
0	679
0	649
0	649
0	1888
0	1888
906	0
73	4124
17	4199
13	4106
4	4199
22	0
682	0
0	770
754	770
197	0
0	1108
0	1108
0	0
14	0
26	0
32	0
87	0
0	0
0	4
0	4
0	2
5	0
20	0
1	1
0	1
0	281
0	281
166	0
0	5
0	5
12	0
155	836
0	837
0	412
4	24
2	24
819	0
129	0
9	126
0	90
0	121
0	117
2	112
81	0
37	0
200	0
26	56
0	56
0	0
0	34
0	34
38	0
427	0
26	0
148	0
9	0
5	284
0	283
0	283
0	258
0	257
0	1485
0	1539
0	1434
0	1436
0	1506
0	1508
0	1539
0	1454
0	1382
0	1485
0	1413
0	1508
0	1436
0	1467
0	1454
0	1382
0	1413
0	1467
0	71
0	71
15	0
151	0
11	96
1	96
451	1322
48	1985
73	1985
4475	1345
0	1345
2	1181
1	1181
0	973
0	1002
0	1002
0	567
0	0
5	0
16589	0
13039	0
0	7125
13	7125
20	19611
24	19611
192	0
196	0
134	0
16890	0
0	2067
1	2071
0	1017
0	719
208	0
2477	0
0	1
0	1
0	53
1	53
317	0
9	0
0	65
0	65
0	68
0	68
77	0
19	89
0	89
0	84
1	79
10	45
0	45
454	0
42	1281
0	1281
26	1217
10	1224
4	1224
77	992
0	992
289	41
0	975
1	975
171	0
0	2013
7	2013
189	0
272	0
0	823
0	685
21	765
0	420
388	1046
0	1046
1	1175
0	1175
14	1087
7	360
0	360
354	0
0	791
0	791
3	0
3	682
1	682
95	809
10	809
553	0
0	925
0	920
13	961
0	436
0	431
0	183
17	183
1101	0
