UniqueCount	AmbigCount
0	820
0	820
0	524
1	524
553	0
4	385
0	385
113	318
2	318
44	315
2	290
11	293
0	309
0	652
1	652
42	0
65	0
59	716
4	716
13	0
44	0
0	0
7	0
282	0
386	0
18	856
7	856
2	833
2	184
0	184
0	765
0	765
2277	0
233	0
232	1034
9	0
46	11
0	0
346	684
306	917
2	1232
63	1232
0	275
539	0
941	0
0	200
0	200
655	0
136	0
51	0
0	7311
0	7315
0	3110
0	13269
0	13269
1402	25354
0	25354
0	24912
49	0
22	0
24	0
0	0
38	0
2	155
0	155
27	0
14	0
42	0
11	72
0	72
7	0
145	0
191	0
0	18
0	30
0	29
0	8
0	7
0	4
0	19
0	4
0	3
72	0
2	26
0	26
0	31
2	31
3	31
0	36
0	36
0	32
0	32
30	0
0	38
0	38
1	166332
0	166326
30	166332
5406	166326
0	63684
2	63684
17	63684
0	170770
7	170780
0	170780
2	80295
0	80315
0	77462
0	77578
0	80293
0	77396
0	79828
0	77966
0	51201
0	51459
0	51459
504	0
75	0
0	824
0	824
251	0
0	326
20	374
3	358
1	305
2	374
14	411
0	411
0	411
0	352
25	486
0	486
380	0
46	2763
0	2595
33	2777
0	2848
0	203
0	1467
2	1467
9868	0
546	0
0	2417
0	2419
0	1956
0	650
0	2063
0	2065
0	136
0	136
0	131
17	0
20	375
11	375
1063	0
302	0
19	907
1	907
1	532
0	532
0	380
0	378
0	445
0	487
0	379
0	283
0	273
54	664
0	664
3	578
223	0
77	1037
0	1037
0	9
0	9
742	0
0	2725
0	2725
809	0
0	4385
306	3105
2	3754
0	3754
58	4568
0	3877
0	4623
0	4623
2	4434
0	4220
0	4161
0	4082
0	4554
1	4453
0	4434
0	2415
0	2415
0	2492
0	2492
0	1086
0	1086
0	2224
0	2227
0	2145
0	2148
0	1792
36	512
0	512
0	2707
134	2707
2	1172
7	1172
0	9113
0	9002
0	8916
2	9027
1	8746
0	8012
0	0
4780	0
0	3520
0	3520
0	3987
0	3987
0	3469
0	3469
1003	0
0	3651
0	3651
0	3651
0	2681
0	2681
0	2681
0	3455
0	3455
0	3455
9	3407
0	1226
7	1377
0	787
3	36942
0	37072
3	37076
14	31258
0	6012
6	6012
875	0
113	1309
0	1309
0	1309
0	3636
0	3636
0	3274
0	3274
1000	0
3579	0
0	5139
2	5139
152	3363
0	4049
0	4049
116	0
14	0
59	0
1719	0
313	0
891	0
5	129
0	129
0	11600
0	11573
0	11600
2498	0
988	0
0	523
0	523
0	521
0	521
0	521
0	459
62	459
92	2114
0	2114
0	1552
0	1220
360	0
35	710
3	710
588	9414
5	9414
2389	0
0	1070
9	1070
4621	0
12	964
2	970
0	549
1032	0
3090	0
1490	0
201	3228
0	1050
0	2326
0	1779
0	1779
0	1779
136	935
0	935
8	1399
45	1399
519	0
1110	0
80	0
109	471
0	371
0	369
0	284
0	295
0	1635
0	1635
1	1635
2	3556
0	3556
0	3558
0	3540
0	3542
0	13
0	12
0	13
1184	0
15	0
0	25
0	25
0	25
0	10804
150	10804
1	1526
0	1897
61	1502
24	130
0	130
2026	0
2284	0
761	0
258	6754
0	6634
0	5095
0	13879
0	12025
33	13879
17982	0
966	0
0	0
0	0
5	637
12	637
0	1597
5	1597
76	0
370	0
370	119
2107	0
19	0
517	0
72	749
0	749
0	8456
0	8456
0	8456
7	8456
9319	0
2655	0
2708	0
295	2131
53	2131
937	0
1471	0
1738	0
937	0
0	6908
