"","cg1","cg2","cg3","cl1","cl2","cl3","cw1","cw2","cw3","sg1","sg2","sg3","sl1","sl2","sl3","sw1","sw2","sw3"
"WBGene00000001",8.107014,6.975508,6.985529,10.264917,11.716065,4.920195,7.808453,6.455659,4.03888,0.893526,0,7.632755,7.877247,12.398355,3.149879,7.148765,21.891214,17.518157
"WBGene00000002",6.298857,6.702213,5.339158,8.038582,5.859117,4.790453,5.207178,6.370798,1.546508,0,0,1.182255,2.428104,0,1.07074,4.189777,0,0
"WBGene00000003",7.474552,6.439804,2.682232,13.091974,8.227378,2.432142,5.541982,2.858928,0.625897,0.655406,0.936091,4.882107,6.128206,1.28047,1.540425,4.928588,5.284114,3.134284
"WBGene00000004",5.752922,5.549213,4.810247,6.80561,4.916061,2.635742,3.897999,3.23658,1.574245,2.409414,0,1.127694,9.63875,6.623443,6.589569,7.025859,3.393078,0
"WBGene00000005",3.959048,3.393787,3.135553,5.422508,4.092565,3.048471,4.190805,4.325412,1.321433,0.566821,0,2.326956,2.381755,1.527144,3.522738,2.257302,5.957738,0.397902
"WBGene00000006",6.189619,6.405323,7.147701,6.277508,5.058068,3.790832,3.571827,2.44648,1.883535,1.668593,0.015293,3.33237,19.626887,7.436698,6.848807,15.62427,13.279495,4.563088
"WBGene00000007",7.93924,7.919959,3.00549,10.103855,6.987931,4.463212,6.495012,4.979397,2.475253,0.207272,0,1.998956,2.024455,0.636347,0.064027,3.642291,2.533591,3.517219
"WBGene00000008",0.849476,1.173576,0.554523,1.121827,0.721825,0.307463,0.499852,0.292683,0.204199,0,0,0.284022,0.132147,0.049586,0,0.427424,0.125503,0.182713
"WBGene00000009",0.991126,0.918441,0.399305,1.528977,1.011091,0.355806,0.798431,0.714935,0.177037,0.04657,0,0.560801,0.506602,0.017059,0,0.334424,0.240565,0
"WBGene00000010",6.923008,5.431927,6.258855,8.923224,8.323016,3.720172,6.439963,5.696062,1.60676,0.841859,0,3.67077,5.890768,2.642532,2.765613,4.540898,8.624416,0.028595
"WBGene00000012",5.395721,1.41305,0,2.363797,2.824631,0,8.476037,0.534482,3.579817,0,0,21.310409,8.273867,20.373876,0,13.218813,8.348964,0
"WBGene00000013",5.856116,5.984858,4.338837,4.672113,4.336768,2.378076,6.075312,8.375901,3.506218,0,0,5.444164,13.688786,1.917598,6.621722,5.358776,5.928228,0
"WBGene00000014",0,0,0,0,0,0,0,0,0,0,0,0.266987,0,0.357355,0,7.750612,4.263975,0
"WBGene00000015",0.942045,0.616765,0.370043,0.412698,0.739733,0.80205,0.796837,0.746527,0.156251,0,0,14.882429,3.43079,6.877054,0,5.341109,1.286166,61.166906
"WBGene00000016",15.859298,19.336616,2.76874,12.75654,9.028139,5.27966,11.812505,5.665794,3.334819,122.997245,0,49.15721,77.773805,87.058516,6.953719,30.281848,13.977542,0.018374
"WBGene00000017",14.163237,14.443213,1.823199,14.472733,10.576658,1.394715,12.73479,5.787649,0.928346,52.439507,0,5.169079,20.305104,103.573968,6.085359,9.402524,4.920439,40.82408
"WBGene00000018",5.632279,5.774903,4.339923,5.607986,5.454773,2.050868,3.459436,3.182268,0.986025,0.777047,0.06465,1.703393,7.754911,5.031776,3.688314,4.241817,6.493489,1.775371
"WBGene00000019",0.68866,0.436444,0.620373,1.709595,1.44204,0.182411,0.61946,0.594847,0.123665,0.290965,0,0.604171,2.490355,1.967215,1.604352,1.339494,1.613622,0.002927
"WBGene00000020",3.467242,3.249467,2.043729,3.267385,3.403752,1.30381,1.776926,1.63563,0.435132,0.235049,0,0.728256,5.227475,3.229675,3.909676,3.294509,3.596731,0.059521
"WBGene00000021",0.075547,0.079138,0.158269,0.134486,0.124295,0.065341,0.024344,0.054166,0.021481,0,0,0.072169,0.366842,0.026564,0.025658,0.169216,0.196464,0.001525
"WBGene00000022",10.701485,10.938608,9.272249,10.926339,10.905478,5.682835,6.411475,5.308926,1.903498,0.904723,0,3.948596,2.251098,0.65697,1.457698,4.147784,4.169775,6.176759
"WBGene00000023",0.968569,0.815944,1.113893,1.815962,1.815419,0.466459,0.7628,0.877579,0.240414,0.319604,0,0.686179,2.812043,0.015913,3.739906,2.040524,1.131883,0.001436
"WBGene00000024",22.965294,23.625411,28.081247,26.219985,28.259553,6.788884,10.504785,11.002636,11.083905,2.239407,0,13.207331,8.377386,1.207744,4.871488,2.818324,24.83661,0
"WBGene00000025",0.126012,0.110002,0.032999,0.294423,0.439778,0,0.091362,0.174753,0,0,0,0,0,0.007049,0.024966,0,0.214098,0.031169
"WBGene00000026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030732,0
"WBGene00000027",1.656852,1.013592,2.873441,2.333894,2.663509,0.988606,0.989566,1.053297,1.173699,0,0,1.260763,0.160616,0,2.671347,0,1.236951,0.040377
"WBGene00000028",0,0,0,0.025448,0,0,0,0,0,0,0,0,0.11525,0,0,0,0.455972,0
"WBGene00000029",20.762491,23.664303,34.862856,19.079101,18.729821,7.818646,9.226395,7.382209,9.457573,1.37931,0.081689,9.248179,10.810438,2.592801,0,6.258643,10.644789,0.328283
"WBGene00000030",19.027643,20.18889,32.065808,19.033592,19.122241,6.759033,8.496824,7.417009,5.98396,0,101.450062,20.809121,19.356603,9.095695,0,21.964058,22.125287,0.016297
"WBGene00000031",0.971011,2.078128,3.006123,2.065332,3.670701,0,0.411788,0.406256,0.177023,0.924039,2.824185,8.67213,5.247039,4.327238,0,10.307559,10.087677,0.31837
"WBGene00000032",0,0,0,0,0,0,1.330124,0,2.018968,0,0,1.621555,0,0,0.408723,2.30159,3.159342,0
"WBGene00000033",16.211636,17.868541,18.611611,16.856212,18.381272,4.219206,7.872378,7.219688,6.585729,0.263022,0,19.110144,34.27687,12.779073,0,11.040851,22.993105,0.006407
"WBGene00000034",26.147268,24.799613,42.520837,25.120383,29.554621,8.70721,13.716929,14.841329,12.525439,3.232989,0,12.047162,14.937187,0,2.115143,9.28827,15.240208,0.019182
"WBGene00000035",0,0,1.351872,0,0,1.029608,0,0,0.479884,2.102889,0,0.652266,3.080371,0.112048,0.099209,2.102907,2.238401,0.29491
"WBGene00000036",8.492957,8.467507,5.520975,7.768052,6.417444,2.975212,4.988518,4.126821,1.113349,2.338817,0,0.098781,1.196009,0.301451,2.350685,1.094099,1.451393,0.243872
"WBGene00000037",1.833416,2.061296,1.067855,1.717179,1.563785,0.568164,1.038968,0.732711,0.25691,0.101371,1.284439,0.745114,4.332197,1.188291,2.761855,4.823524,1.93922,0.050265
"WBGene00000038",1.257952,1.067664,0.134655,0.761608,0.740247,0.048643,0.452693,0.174634,0.054827,0,0,0.198018,0.26048,0.597884,1.604506,0.812392,0.213953,0
"WBGene00000040",98.656951,88.666653,100.914834,103.290858,93.84124,100.619823,76.664286,71.553413,47.261621,0,17.760504,22.958012,19.231955,1.278909,0,21.490343,12.764639,2.868012
"WBGene00000041",215.684874,208.856042,235.256538,225.531133,219.210502,181.791725,160.302093,156.053614,128.003412,29.494499,105.947593,36.691635,80.657023,23.722039,32.726756,53.456632,42.228727,41.121879
"WBGene00000042",0.795247,0.823582,0.624759,0.918477,0.700154,0.410344,0.428061,0.48697,0.25781,0.07452,251.51081,5.742324,38.966709,36.373295,79.976899,114.622967,52.174941,82.126049
"WBGene00000043",0.448875,0.493149,0.344043,0.575551,0.401192,0.223709,0.232838,0.321009,0.094427,4.213105,0,0.927941,5.464519,2.77802,4.568036,5.456282,2.543061,4.470613
"WBGene00000044",0.427947,0.385737,0.375295,0.395303,0.385536,0.29374,0.230899,0.1183,0.224497,0.264442,0,0.249565,1.961026,5.89907,4.992455,0.880528,3.913264,0.00422
"WBGene00000045",0.087152,0.091295,0.057057,0.101814,0.102654,0.049467,0,0.025899,0.043366,0,0,0,1.628746,0,1.942502,2.824461,1.300941,0
"WBGene00000046",0.502789,0.49307,0.25773,0.612369,0.35841,0.13763,0.392972,0.211934,0.070974,0,0,0.296573,0.80379,0.258519,1.258935,0.245605,0.74133,0.009072
"WBGene00000047",2.344344,2.221895,2.402521,2.489763,1.615084,1.420883,1.540277,1.270692,0.828182,2.346124,0,2.905544,3.065735,1.95643,1.559034,2.309016,1.584073,0.004303
